Vote,8,Constitutional,Review,Commission,,,,,,,,,,,
Item,Description,2011/2012,2012/2013,2013/2014,,,,,,,,,,,
Actual,Approved,Estimates,,,,,,,,,,,,,
Expenditure,Estimates,,,,,,,,,,,,,,
Shs•,Shs.,Shs•,,,,,,,,,,,,,
TotalofSubvote,0,220,488,0,64,200,0,,,,,,,,
Subvote,I004,PROCUREMENT,MANAGEMENT,UNIT,,,,,,,,,,,
2I0300,Personnel,Allowances,-,(Non-Discretionary),0,30,0,50,0,0,,,,,
220100,Ofllce,And,General,Supplies,And,Services,0,1,10,244,0,19,0,0,
220800,Training,-,Domestic,0,0,3,280,0,,,,,,,
221000,Travel,-,ln,-,Country,0,0,3,200,0,,,,,
221200,Communications,&amp,,Information,0,20,0,0,10,0,0,,,,
221400,Hospitality,Supplies,and,Services,0,10,0,0,12,0,0,,,,
Total,ol&apos,Subvote,0,170,244,0,97,480,0,,,,,,
Subvote,,,1005,INFORMATION,COMMUNICATION,AND,TECHNOLOGY,,,,,,,,
220100,Office,And,General,Supplies,And,Services,0,320,0,0,226,0,0,,
221200,Communications,&amp,,Information,0,104,0,84,0,0,,,,,
229900,Other,Operating,Expenses,0,200,0,75,0,,,,,,,
410600,Acquisition,Ol&quot,Ol&quot,Iice,and,General,Equipment,0,30,0,0,102.000.000,,,
Total,ol&quot,,Subvote,0,654,0,0,487,0,0,,,,,
Subvote,1006,COMMUNICATIONS,AND,OUTREACH,,,,,,,,,,,
220I00,Office,And,General,Supplies,And,Services,0,202,500,0,8,,180,0,0
220600,Clothing,Bedding,,Footwear,And,Services,0,0,40,0,0,,,,
221000,Travel,-,ln,-,Country,0,70,0,12,0,,,,,
22I200,Communications,&amp,,Information,0,150,0,500,0,,,,,,
221300,Educational,Material,,Supplies,and,Services,0,182,500,0,1,578,195,0,
Total,ol&apos,,Subvote,0,605,0,0,l0,310,l95,0,,,,
Subvote,I007,REVIEW,COORDINATION,UNIT,,,,,,,,,,,
210300,Personnel,Allowances,-,(Non-Discrctionary),0,123,677,0,0,,,,,,
210400,Personnel,Allowances,-,(Discrclionary)-,Optional,0,0,604,800,0,,,,,
220100,Office,And,General,Supplies,And,Services,0,440,976,75,0,,,,
220300,Fuel,,Oils,.Lubricants,0,0,218,500,0,,,,,,
220600,Clothing,Bedding,,Footwear,And,Services,0,0,30,0,0,,,,
220700,Rental,Expenses,0,820,0,660.000.000,,,,,,,,,
221000,Travel,-,ln,-,Country,0,600,0,0,1,493,820,0,,
221200,Communications,&amp,,Information,0,2.076,0,0,0,,,,,,
22I400,Hospitality,Supplies,and,Services,0,410,0,0,266,800,0,,,,
229900,Other,Operating,Expenses,0,350,0,0,0,,,,,,,
Total,of,Subvote,0,4,820,653,0,3,348,920,0,,,,
Total,of,Programme,0,33,944,588,0,33,944,588,0,,,,
5,,,,,,,,,,,,,,,
